symbol;name
M;Macy's, Inc.
REVG;REV Group, Inc.
IMVT;Immunovant, Inc.
GOOGL;Alphabet Inc.
GOOG;Alphabet Inc.
SMR;NuScale Power Corporation
ARWR;Arrowhead Pharmaceuticals, Inc.
NWL;Newell Brands Inc.
PSIX;Power Solutions International, Inc.
OSCR;Oscar Health, Inc.
RGC;Regencell Bioscience Holdings Limited
HQY;HealthEquity, Inc.
CPB;The Campbell's Company
HIMS;Hims & Hers Health, Inc.
TGTX;TG Therapeutics, Inc.
KYMR;Kymera Therapeutics, Inc.
KYIV;Kyivstar Group Ltd.
DXCM;DexCom, Inc.
PTCT;PTC Therapeutics, Inc.
HMY;Harmony Gold Mining Company Limited
CLS;Celestica Inc.
BMNR;Bitmine Immersion Technologies, Inc.
TIGR;UP Fintech Holding Limited
WIX;Wix.com Ltd.
IONS;Ionis Pharmaceuticals, Inc.
MH;McGraw Hill, Inc.
LEGN;Legend Biotech Corporation
WDC;Western Digital Corporation
UEC;Uranium Energy Corp.
SGHC;Super Group (SGHC) Limited
WB;Weibo Corporation
PI;Impinj, Inc.
GMAB;Genmab A/S
MMYT;MakeMyTrip Limited
HGTY;Hagerty, Inc.
CGON;CG Oncology, Inc.
FRO;Frontline plc
OGN;Organon & Co.
TMC;TMC the metals company Inc.
RKT;Rocket Companies, Inc.
PSKY;Paramount Skydance Corporation
RIVN;Rivian Automotive, Inc.
CRNX;Crinetics Pharmaceuticals, Inc.
UNM;Unum Group
FIG;Figma, Inc.
RBLX;Roblox Corporation
COOP;Mr. Cooper Group Inc.
AAPL;Apple Inc.
SLG;SL Green Realty Corp.
SRRK;Scholar Rock Holding Corporation
